0,1052
1,1054
2,1055
3,1052
4,1059
5,1056
6,1047
7,1056
8,1048
9,1039
10,1036
11,1031
12,1026
13,1024
14,1018
15,1016
16,1006
17,998
18,1001
19,998
20,990
21,995
22,1002
23,995
24,990
25,985
26,988
27,988
28,991
29,991
30,996
31,989
32,981
33,971
34,966
35,965
36,964
37,962
38,968
39,968
40,968
41,964
42,970
43,961
44,953
45,945
46,952
47,943
48,948
49,943
50,949
51,957
52,966
53,958
54,965
55,973
56,966
57,957
58,951
59,948
60,943
61,933
62,939
63,932
64,928
65,931
66,934
67,930
68,931
69,926
70,917
71,908
72,906
73,912
74,913
75,912
76,912
77,912
78,917
79,922
80,921
81,912
82,920
83,913
84,917
85,924
86,932
87,940
88,936
89,932
90,925
91,927
92,934
93,938
94,941
95,932
96,928
97,919
98,917
99,916
